Id,Label,timeset,size,modularity_class
320,1448376156265369604,,69,102
321,1448088649120174081,,172,4
322,1448455507799273476,,25,4
323,1448288175835820033,,201,4
324,1448278858193461253,,7,1
325,1448035597487017987,,160,4
326,1448273882855608321,,27,4
327,1448433656301764614,,9,102
328,1448214277085704194,,9,628
329,1447941213324300298,,1023,6
330,1448409965161549830,,103,4
331,1448444892544475137,,4,4
332,1448432956674953221,,260,6
333,1448208424869707777,,940,4
334,1448382325704646659,,228,4
335,1448346728810250245,,120,628
336,1448334629899943937,,136,4
337,1448423350875873290,,21,4
338,1448148364856418307,,77,4
339,1448319560478871555,,112,628
340,1448361248626823175,,115,4
341,1448183164967522306,,41,4
342,1448352663481978880,,232,4
343,1448455868564090880,,6,1129
344,1448278873448321025,,285,4
345,1448284654872645632,,2239,6
346,1448293883763478541,,91,4
347,1448221798429044738,,82,4
348,1448253150192881670,,80,102
349,1448453010682638337,,44,4
350,1447954214886510598,,527,4
351,1448213188839985153,,312,4
352,1448386915120599043,,240,4
353,1447855157262360577,,12,4
354,1448164342772404225,,81,4
355,1448094580658737153,,69,11
356,1444885622607466497,,72,146
357,1448194089120264192,,70,4
358,1448290916934963207,,480,4
359,1447434899024072706,,115,1
360,1448446678248443908,,60,628
361,1447196682697854977,,7,1
362,1448422023902941185,,34,4
363,1447747797063647233,,989,6
364,1448242928728489989,,2772,6
365,1448444352045281285,,150,1
366,1446125546887258112,,1,461
367,1448004601123328008,,85,146
368,1448398449003704321,,83,628
369,1447745695520210947,,34,628
370,1448209288229318658,,32,1
371,1448379516343177217,,2,1
372,1448372555354558464,,45,1129
373,1443931208434388992,,39,1
374,1448275775057059842,,16,1
375,1448431537758871552,,87,4
376,1448342782381264898,,157,4
377,1448295405700075530,,136,4
378,1448444750185394176,,72,1
379,1448486291872665601,,1,12
380,1448016032463998978,,612,4
381,1447994426677149697,,74,4
382,1448010469038387200,,6,628
383,1447201400983891973,,183,4
384,1448465341265367047,,17,628
385,1447665583302930432,,63,4
386,1448392825536761857,,71,4
387,1448287926958370816,,39,6
388,1448365444872740866,,105,4
389,1448431486672117764,,13,1
390,1448238298695028738,,38,1
391,1448276273197993990,,251,6
392,1448347805706113026,,58,4
393,1448264155614482438,,50,1
394,1447782325643669511,,190,1129
395,1448430464172113923,,29,4
396,1448482957832953857,,4,4
397,1448323571365789696,,163,4
398,1448259583785373702,,61,4
399,1448085652160106504,,268,4
400,1447047234554454017,,3,1
401,1447626669771067393,,2524,6
402,1448473424863522817,,2,97
403,1448236597183492096,,300,4
404,1448477568865341441,,1,4
405,1448389140811182084,,11,4
406,1448482674998272003,,16,1
407,1447839934446981120,,112,628
408,1448456288346820616,,48,628
409,1443626233133211652,,211,6
410,1448337429170098187,,147,4
411,1447145336078680068,,1,13
412,1446515744389304335,,18,6
413,1448362674023276551,,970,4
414,1448385457163804676,,32,4
415,1443588886794412032,,1,14
416,1448081228368732162,,138,4
417,1448339601928687618,,280,102
418,1448295331288924169,,73,4
419,1448407178067468291,,119,102
420,1448338705253605382,,896,4
421,1448342129961578507,,21,1
422,1448465783789535232,,14,1
423,1448479924919099393,,4,102
424,1448182068706516996,,251,4
425,1448486511402524672,,1,15
426,1447592875890458633,,19,1
427,1448138747065745411,,202,4
428,1448354856872251393,,210,4
429,1447586628046708738,,508,6
430,1448369721879969795,,227,4
431,1448449502889848835,,6,906
432,1448046077001748494,,19,102
433,1448410898104819714,,99,6
434,1448391828768763911,,169,4
435,1448220742865281035,,292,4
436,1448245104334950405,,224,1
437,1448430853613309955,,27,1
438,1448367961035714561,,364,4
439,1448265885060374530,,283,4
440,1447970721972490241,,171,628
441,1448470362463817736,,7,4
442,1448378040476700672,,169,4
443,1448483009980624898,,2,628
444,1443352243651162114,,65,146
445,1446421195218472966,,1,1
446,1446885359435067393,,1,4
447,1448402769556160512,,97,4
448,1448284768890593290,,86,4
449,1447240269250719748,,1,4
450,1448456350720212992,,18,4
451,1443279855265714178,,1,16
452,1448454257804513281,,80,4
453,1448459866914263041,,201,102
454,1447585311693869056,,1,102
455,1448092728764493824,,53,628
456,1448482554978385920,,4,1129
457,1448486306007429121,,4,628
458,1448214090606948355,,238,4
459,1448417387620016131,,64,4
460,1446868114638090244,,1,17
461,1448254479590060036,,122,4
462,1447992623801806851,,144,4
463,1444717399840747523,,40,628
464,1448001527604551689,,581,102
465,1448204011656474629,,80,4
466,1447743895576608774,,6,1
467,1447692195956498434,,63,1129
468,1448393109809807362,,32,1
469,1448286148166660100,,90,4
470,1448187692559130630,,65,102
471,1448332879889588230,,513,4
472,1447598028018393088,,82,6
473,1448468085220921344,,24,1
474,1448321477715976194,,24,4
475,1448438407818977282,,12,4
476,1448286765555404804,,153,4
477,1448160277690609670,,5,628
478,1448475869723435009,,15,4
479,1447713619370815492,,25,102
480,1448426930726969348,,104,4
481,1448254607830884356,,22,628
482,1448441794237059072,,92,102
483,1448451448824479744,,1,18
484,1448463843416444932,,3,1129
485,1448214054531584014,,320,102
486,1445021907179474949,,30,1
487,1448333233255505924,,234,628
488,1443475928722522116,,4,6
489,1448433760467259397,,63,4
490,1448414720483069953,,206,4
491,1447875795611897861,,1,19
492,1447812338682241026,,24,1
493,1448298381697110030,,38,1
494,1448105037306138626,,632,6
495,1448016362006265856,,31,4
496,1448245910379577353,,10,628
