ID,Label,Size
436,1447145336078680068,1
437,1446515744389304335,18
438,1448385457163804676,33
439,1443588886794412032,1
440,1448081228368732162,138
441,1448339601928687618,281
442,1448295331288924169,73
443,1448486594248265729,1
444,1448325283724070913,7
445,1448407178067468291,119
446,1448338705253605382,896
447,1417797209802690564,1
448,1448342129961578507,21
449,1448465783789535232,14
450,1448479924919099393,4
451,1448182068706516996,251
452,1444063941949263872,1
453,1448486511402524672,1
454,1447592875890458633,20
455,1448138747065745411,203
456,1448354856872251393,210
457,1447586628046708738,508
458,1448369721879969795,228
459,1448449502889848835,6
460,1448046077001748494,19
461,1448410898104819714,99
462,1448391828768763911,169
463,1448220742865281035,295
464,1448245104334950405,232
465,1448286724707209220,8
466,1448430853613309955,54
467,1448418460589965316,2
468,1448367961035714561,366
469,1448265885060374530,283
470,1447970721972490241,171
471,1448470362463817736,7
472,1448284768890593290,86
473,1448378040476700672,169
474,1448483009980624898,2
475,1443352243651162114,65
476,1446421195218472966,1
477,1446885359435067393,1
478,1448402769556160512,97
479,1447853836140417028,93
480,1448298381697110030,39
481,1447240269250719748,1
482,1448456350720212992,18
483,1443279855265714178,1
484,1448454257804513281,80
485,1448459866914263041,201
486,1447585311693869056,1
487,1448092728764493824,63
488,1448438762535481346,2
489,1448482554978385920,4
490,1448486306007429121,4
491,1448214090606948355,240
492,1448358366124859398,4
493,1448417387620016131,65
494,1446868114638090244,1
495,1448254479590060036,123
496,1447992623801806851,144
497,1444717399840747523,40
498,1448001527604551689,581
499,1448204011656474629,81
500,1447743895576608774,6
501,1447692195956498434,65
502,1448393109809807362,32
503,1448286148166660100,97
504,1448187692559130630,66
505,1448342016581066756,3
506,1448332879889588230,517
507,1447598028018393088,82
508,1448468085220921344,25
509,1448321477715976194,26
510,1448438407818977282,12
511,1448286765555404804,154
512,1448160277690609670,5
513,1448475869723435009,15
514,1447713619370815492,25
515,1448433038900310017,4
516,1448248939661066243,10
517,1448426930726969348,106
518,1448254607830884356,22
519,1448441794237059072,93
520,1448451448824479744,1
521,1448463843416444932,3
522,1448214054531584014,321
523,1445021907179474949,31
524,1448333233255505924,237
525,1443475928722522116,4
526,1448433760467259397,63
527,1448414720483069953,206
528,1447875795611897861,1
529,1447812338682241026,24
530,1448105037306138626,632
531,1448016362006265856,32
532,1448245910379577353,10
533,1448457120869875716,49
534,1448358479178182658,146
535,1434090814926426114,85
536,1446474143940190208,4
537,1447856964080386049,58
538,1448486324219039748,1
539,1446697767498256388,18
540,1447540679916228610,17
541,1447675876943048707,8
542,1448394303017996295,308
543,1447773226671689730,31
544,1448470175531945984,18
545,1448377982389821445,28
546,1447954051002355717,21
547,1447630118961168385,1
548,1448476424814436352,3
549,1448217332015251457,38
550,1448392687338545153,7
551,1448470752269852678,1
552,1448427279219056645,2
553,1448311301743075331,4
554,1447819567510740993,526
555,1448333599351181320,665
556,1448464337165717504,3
557,1448485828020293634,3
558,1448416521227808774,52
559,1445430080516157442,6
