Id,Label,timeset,size,modularity_class
412,1444449988466167809,,322,289
413,1445309154038587394,,75,43
414,1434253353878491138,,37,104
415,1430721337912303622,,44,105
416,1436146078982684692,,9,106
417,1421399740953022465,,20,837
418,184081329,,774,31
419,1439081860223668225,,4,107
420,999416315793227776,,187,68
421,1436157393503600643,,22,108
422,1409902623780601857,,125,235
423,1441426941077180418,,153,109
424,1359560099287736320,,29,37
425,1438788256905244674,,87,23
426,1243021690621136898,,82,761
427,1436796289287692293,,60,31
428,1305245810184073222,,3,110
429,1441155298148847625,,30,43
430,1438094797592530948,,11,111
431,1259176366274154496,,202,68
432,1438076992281137164,,54,112
433,1442140153305174016,,350,31
434,2649429956,,130,837
435,1438368069504495616,,1,113
436,1441310075935617027,,2,114
437,1060660764,,12,115
438,1437869483922759684,,28,226
439,1439420928467746816,,8,116
440,805923114387382272,,8,117
441,1433184235230273536,,9,118
442,1444994706555817995,,59,119
443,1447145040934051844,,57,226
444,1266351467855740930,,161,31
445,1367740585738702849,,15,485
446,1437903708315062278,,3,327
447,930844400694976512,,20,68
448,1431916675129954305,,65,120
449,1442002073113923585,,370,37
450,1433230741278756866,,153,31
451,1418442325361979392,,466,68
452,1370947850096451586,,38,68
453,1430092935928766465,,204,37
454,1432717340748271631,,8,121
455,1356005087471087618,,450,122
456,1440596697273360392,,38,37
457,1413908765448065026,,3,123
458,1144839226242023429,,18,124
459,1435555531951951881,,186,837
460,1443068049351925763,,128,68
461,1430355096886382593,,48,125
462,1439550835579555840,,286,31
463,1443135267603292162,,17,68
464,1431002681468874753,,1162,37
465,1392424896735727617,,15,31
466,16335666,,83,837
467,1431911466936922112,,46,126
468,1439876591274844165,,11,932
469,1390323666601250818,,525,837
470,1442953475378356224,,40,127
471,1445353122642087942,,4,43
472,1448277575055282177,,1,68
473,1381061918077583361,,289,837
474,1424760075109888003,,637,23
475,1447138048232226820,,44,68
476,1344180612177879041,,1,68
477,1425897390779731975,,11,128
478,1433915721885569025,,10,129
479,1374762977518292993,,32,837
480,1438218940220678153,,108,837
481,1447770753508814850,,1,130
482,1426858758706278400,,151,23
483,1444849891268759552,,118,131
484,1369900476133613569,,24,351
485,1441117761682305032,,2,132
486,1448109480936304640,,1,837
487,1426635086112464899,,2,226
488,1265550342969835522,,33,351
489,516283916,,42,133
490,1377575199692914691,,25,134
491,1396830776474357760,,45,135
492,1431264097241346056,,148,837
493,1285400170197393523,,1,136
494,1422267906008797186,,438,837
495,1410292684179361798,,20,23
496,1438568743618101248,,54,23
497,1443295324810924033,,13,31
498,1420942010660311052,,19,137
499,1449685477,,2,138
500,1431801223104004097,,76,31
501,995768778402271232,,26,351
502,1438174285693165573,,1000,43
503,337314868,,1295,43
504,1430363118392147968,,188,139
505,1424109660471107585,,6,37
506,1331596373058174981,,46,140
507,1148283863874932736,,151,141
508,1443388540847640577,,1,142
509,1445916895195009029,,268,68
510,1371461154032254976,,18,143
511,1371936863028531202,,1744,837
512,972440536077369349,,39,415
513,1433657630602452992,,2,144
514,1437636883375398913,,23,876
515,1393618945182031873,,5,145
516,1441419995800432651,,168,68
517,1410332128664035333,,4,146
518,1301882962275950594,,83,837
519,1343687986953777152,,115,31
520,1184331517255806976,,119,68
521,1430115597463875591,,310,31
522,258964238,,8,147
523,1410283521160196098,,107,43
524,1428050960262344713,,104,68
525,1392682399981518848,,187,68
526,1432806074894094337,,4,597
527,352659819,,1,148
528,1111845497042599937,,2,149
529,1401296002812825601,,1,150
530,1438513420249145346,,8,151
531,795985243773599744,,320,68
532,1250668016087429121,,623,43
533,1437146604658647041,,12,152
534,1430013604661587970,,6,23
535,1424979332154359809,,17,837
536,1439177717338025986,,5,153
537,1435480277120335876,,97,837
538,1443913253520822275,,5,154
539,1434813083977977856,,59,155
540,997379547350773760,,1987,327
541,1414817320619307009,,111,68
542,1429132199240994818,,330,23
543,1404971067672875015,,434,31
544,1443612721027551233,,51,68
545,1432397008158011394,,21,98
546,1367552114642321410,,56,226
547,1439550333089292295,,30,68
548,1426816186138853381,,2,37
549,1027265533341773824,,2,156
550,1589878758,,1,157
551,1405182592396140550,,12,158
552,1107054660,,41,159
553,1433046097996435459,,163,31
554,2388821563,,2,160
555,2390231708,,30,161
556,1377955470732759042,,1,162
557,1447499283553472517,,21,876
558,1435303151062691840,,35,31
559,1436380014002511874,,27,163
560,1409395022131126275,,120,31
561,1397032177343373313,,36,31
562,1393289741957836802,,68,31
563,1417267646068887554,,6,164
564,192608058,,4,31
565,1437744683216633862,,4,165
566,1436738021248884740,,40,166
567,1406302916990976009,,140,235
568,1398276644947709952,,6,761
569,1428928108724293634,,55,23
570,1382022617205383169,,53,37
571,1363709410736934916,,113,761
572,1431059462886854656,,6,167
573,1378549422687199232,,102,226
574,1557385255,,1,168
575,912987663052836864,,128,415
576,877807935493033984,,3,169
577,1439316094179762180,,125,31
578,1034478294677250048,,144,415
579,1437102920663814146,,3,170
580,1384638818758836224,,6,171
581,1374949494182322176,,20,351
582,1432347378435112964,,19,172
583,1425773172096335873,,55,173
584,1437768829053120515,,22,23
585,1368185109149532164,,305,761
586,1438470412590108675,,56,174
587,1438054514968383488,,31,175
588,1438433051449573376,,125,23
589,1348371427880275969,,64,226
590,1439712154144366602,,98,31
591,1439187429337059331,,135,43
