Source,Target,Type,Id,Label,timeset,Weight
179,83,directed,403,,,1
179,244,directed,404,,,2
179,1487,directed,405,,,1
179,1919,directed,406,,,1
179,1823,directed,407,,,1
179,128,directed,408,,,1
179,843,directed,409,,,1
179,112,directed,410,,,14
179,1666,directed,411,,,1
179,112,directed,412,,,14
179,112,directed,413,,,14
179,112,directed,414,,,14
179,112,directed,415,,,14
179,112,directed,416,,,14
179,112,directed,417,,,14
179,112,directed,418,,,14
179,112,directed,419,,,14
179,112,directed,420,,,14
179,139,directed,421,,,6
179,139,directed,422,,,6
179,139,directed,423,,,6
179,494,directed,424,,,1
179,152,directed,425,,,1
179,209,directed,426,,,3
179,209,directed,427,,,3
179,215,directed,428,,,1
179,874,directed,429,,,2
179,260,directed,430,,,2
179,1357,directed,431,,,1
179,196,directed,432,,,2
179,224,directed,433,,,4
179,265,directed,434,,,3
179,98,directed,435,,,3
179,305,directed,436,,,1
179,290,directed,437,,,1
179,1304,directed,438,,,1
179,1522,directed,439,,,1
179,573,directed,440,,,1
179,3,directed,441,,,1
179,53,directed,442,,,1
179,174,directed,443,,,1
179,1938,directed,444,,,1
179,464,directed,445,,,1
179,231,directed,446,,,5
179,1305,directed,447,,,1
179,1316,directed,448,,,1
179,247,directed,449,,,1
179,140,directed,450,,,2
179,823,directed,451,,,1
179,196,directed,452,,,2
179,1175,directed,453,,,1
179,1,directed,454,,,10
179,690,directed,455,,,1
179,1,directed,456,,,10
179,231,directed,457,,,5
179,136,directed,458,,,2
179,224,directed,459,,,4
179,400,directed,460,,,2
179,1,directed,461,,,10
179,1,directed,462,,,10
179,1369,directed,463,,,1
179,231,directed,464,,,5
179,2468,directed,465,,,1
179,231,directed,466,,,5
179,1214,directed,467,,,2
179,433,directed,468,,,1
179,543,directed,469,,,1
179,686,directed,470,,,2
179,1297,directed,471,,,1
179,880,directed,472,,,2
179,1263,directed,473,,,1
179,113,directed,474,,,4
179,260,directed,475,,,2
179,2786,directed,476,,,1
179,880,directed,477,,,2
179,98,directed,478,,,3
179,540,directed,479,,,1
179,1050,directed,480,,,1
179,2318,directed,481,,,1
179,248,directed,482,,,2
179,319,directed,483,,,1
179,1301,directed,484,,,1
179,19,directed,485,,,1
179,1125,directed,486,,,1
179,266,directed,487,,,2
179,109,directed,488,,,1
179,65,directed,489,,,1
179,1066,directed,490,,,2
179,193,directed,491,,,2
179,444,directed,492,,,2
