Id,Label,timeset,size
99,1439663925180579843,,15
100,1373517671849988098,,6
101,1383532061646938124,,101
102,1700060508,,4601
103,1414276820858544135,,878
104,1446286578771369984,,310
105,1412945535837696001,,794
106,1376279333308932098,,141
107,1381657348524154888,,5
108,1145841138294644736,,448
109,1426097676379201536,,366
110,1391753709718147075,,94
111,1424044479791706114,,1604
112,1408234306233843714,,5419
113,1445074134073896960,,684
114,726825379,,80
115,1426610435634221057,,81
116,1445147491691745282,,44
117,1441487992904814594,,315
118,70842980,,8
119,1416275706787491840,,22
120,2371575838,,875
121,1430606303190212611,,5
122,909458417923743744,,62
123,3191032983,,1763
124,1229377702001565696,,56
125,1437503382793691142,,188
126,4920946291,,985
127,35619167,,9
128,1439991198786080770,,126
129,1302840847482810369,,216
130,1435830206112014343,,7
131,1021643080208801792,,249
132,1441633432329592834,,8
133,1446041104768327681,,2
134,1398663117614239752,,1
135,958463343429390337,,96
136,1386646731450949633,,4645
137,720481518,,258
138,1447687250108723201,,57
139,1408048834358427650,,2882
140,1311583482011881473,,347
141,1184411646036512774,,99
142,1446568504094859271,,14
143,1443817325241647105,,10
144,1437317608647413760,,374
145,1438103055191482372,,111
146,3087274114,,93
147,1439843776390832133,,40
148,119911555,,37
149,1415444418010619907,,361
150,1389625397088763912,,40
151,1207645993136603137,,183
152,1396992483867996160,,463
153,1954313480,,3661
154,1057423340225392641,,2570
155,968220105850130433,,376
156,1405336790391824389,,434
157,433487651,,76
158,1440494205743230977,,3
159,1443855897248210949,,129
160,285113855,,35
161,802138076399144960,,128
162,1438929765650640903,,113
163,1436489514206302233,,37
164,1433433208897486850,,155
165,68738176,,144
166,1107401055296475136,,353
167,1436706296640716800,,567
168,1434683042912686080,,223
169,1039023145208799232,,356
170,2298710605,,1
171,1347785732493078530,,51
172,1435628010443522053,,224
173,2250820957,,570
174,1412288844649570309,,915
175,1428425053939642374,,227
176,1441681021892579331,,430
177,4834702393,,16
178,949458210494140416,,133
179,1403044167203295233,,2520
180,1434848618452824064,,96
181,1384184428637802496,,6
182,1439369226821701633,,39
183,54127327,,28
184,932781109292568576,,65
185,1366715603919241217,,1788
186,1441749695613714436,,55
187,432307047,,1
188,1431170655077036033,,92
189,1445649159114002443,,12
190,1426800355644424193,,33
191,1420038438414336003,,83
192,1440740523166167042,,66
193,1435299344215953408,,1361
194,1435022705024290825,,215
195,19754588,,104
196,3224463015,,471
197,1435599773470367749,,338
198,25160228,,178
199,1434853037831380994,,24
200,1440943237292707844,,1428
201,1432685072256155657,,37
202,1431017147682131969,,223
203,1421561771169656835,,130
204,1441659410514735105,,163
205,1435965957545938947,,15
206,1438174480992555017,,68
207,1421023104051007497,,225
208,597298980,,20
209,1421561588000206848,,2239
210,1435787804814966785,,12
211,1436892615647973377,,673
212,1415809282369490945,,1
213,1443932230762606598,,2306
214,1394659076886482950,,1033
215,1426318224979804160,,575
216,1440473006577356804,,112
217,1379503561516621826,,495
218,1436315838521483264,,107
219,1445381686221438978,,26
220,1353767790625255424,,7
221,1441589918778621956,,6
222,1405316586706280449,,1
223,1382546656353251331,,85
224,520293904,,1639
225,1383332354924584964,,23
226,1257642549851766786,,1685
227,83521149,,6
228,1435028634767593472,,1
229,1113117722697588736,,1
230,1437861785160146944,,129
231,1371491666335571974,,1868
232,1421813720947122178,,140
233,1413288875355672577,,11
234,1440250052300083206,,1101
235,1437680035154968581,,8
236,1436249966687645696,,35
237,1430645522986016769,,28
238,1387860767983161345,,94
239,1355188815145676802,,227
240,1432360661011636224,,18
241,1340769560627195904,,626
242,1412575894401556483,,137
243,1345039872105406465,,52
244,1369056169495384065,,131
245,1435299770550075396,,129
246,1418055368501088257,,101
247,1440790555949088772,,616
248,2216404526,,604
249,1434999510787297281,,295
250,1423293604206764036,,14
251,1435529851306344458,,880
252,1443747768632111123,,414
253,1432998209589325827,,153
254,1445025075749535749,,10
255,1441042103644082182,,42
256,1428268234818539528,,1248
257,1353583313227718657,,173
258,224610818,,1
259,1447634219543506947,,109
260,1430497514394947584,,272
261,129993487,,34
262,918488105794932737,,3
263,862405721450827777,,63
264,1391358997203017737,,50
265,1437589105433407488,,844
266,1437973707071311872,,446
